City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Coquimbo,CL,2021-10-03 15:57:34,-29.9533,-71.3436,60.53,67,0,11.5
59,Souillac,MU,2021-10-03 15:57:35,-20.5167,57.5167,73.36,94,75,10.36
60,Nantucket,US,2021-10-03 15:54:22,41.2835,-70.0995,73.26,75,9,4.43
61,Port Blair,IN,2021-10-03 15:57:35,11.6667,92.75,80.65,82,50,5.57
62,San Andres,CO,2021-10-03 15:57:35,12.5847,-81.7006,80.62,89,75,10.36
63,Barrow,US,2021-10-03 15:57:36,71.2906,-156.7887,26.89,84,100,9.15
64,Jamestown,US,2021-10-03 15:56:19,42.097,-79.2353,67.33,98,90,7.0
65,Hilo,US,2021-10-03 15:53:12,19.7297,-155.09,81.28,92,29,1.01
66,Arraial Do Cabo,BR,2021-10-03 15:57:36,-22.9661,-42.0278,80.56,88,75,14.97
67,Lufilufi,WS,2021-10-03 15:57:37,-13.8745,-171.5986,81.59,74,23,20.22
68,Henties Bay,NA,2021-10-03 15:57:37,-22.116,14.2845,58.86,79,4,10.07
69,Airai,TL,2021-10-03 15:57:37,-8.9266,125.4092,59.74,85,61,0.85
70,Saint-Philippe,RE,2021-10-03 15:57:38,-21.3585,55.7679,74.79,81,30,16.49
71,Zhaoyuan,CN,2021-10-03 15:57:38,37.3592,120.3964,77.79,95,100,6.46
72,Faanui,PF,2021-10-03 15:57:39,-16.4833,-151.75,77.7,75,6,7.76
73,Katsuura,JP,2021-10-03 15:57:39,35.1333,140.3,70.11,80,1,6.06
74,Tombouctou,ML,2021-10-03 15:57:40,20.0,-3.0,104.14,7,53,9.33
75,Mar Del Plata,AR,2021-10-03 15:53:42,-38.0023,-57.5575,55.42,55,40,21.99
76,Bandar-E Lengeh,IR,2021-10-03 15:57:40,26.5579,54.8807,91.51,66,99,4.61
77,Lompoc,US,2021-10-03 15:57:41,34.6391,-120.4579,91.13,76,1,0.0
78,Upernavik,GL,2021-10-03 15:57:41,72.7868,-56.1549,33.33,62,100,3.31
79,Vila Franca Do Campo,PT,2021-10-03 15:57:42,37.7167,-25.4333,72.01,71,94,3.74
80,Sao Joao Da Barra,BR,2021-10-03 15:57:42,-21.6403,-41.0511,84.29,76,39,10.89
81,Orange Cove,US,2021-10-03 15:57:42,36.6244,-119.3137,62.65,47,1,5.75
82,Nikolskoye,RU,2021-10-03 15:57:43,59.7035,30.7861,53.87,79,2,6.82
83,Necochea,AR,2021-10-03 15:57:43,-38.5473,-58.7368,54.03,53,6,24.14
84,Petukhovo,RU,2021-10-03 15:57:43,55.0692,67.9019,32.52,76,99,10.07
85,Zyryanka,RU,2021-10-03 15:57:44,65.75,150.85,23.77,95,52,7.78
86,Karratha,AU,2021-10-03 15:57:44,-20.7377,116.8463,72.32,59,0,12.41
87,Hobart,AU,2021-10-03 15:55:27,-42.8794,147.3294,54.1,95,90,4.61
88,Severo-Kurilsk,RU,2021-10-03 15:57:44,50.6789,156.125,47.73,84,71,42.9
89,Chuy,UY,2021-10-03 15:57:45,-33.6971,-53.4616,62.47,63,99,12.21
90,Linxia,CN,2021-10-03 15:57:45,35.6003,103.2064,36.73,100,100,1.9
91,Batagay-Alyta,RU,2021-10-03 15:57:46,67.8006,130.4114,21.38,83,93,2.13
92,Castro,BR,2021-10-03 15:57:46,-24.7911,-50.0119,63.01,98,100,5.79
93,Ancud,CL,2021-10-03 15:57:46,-41.8697,-73.8203,49.53,69,57,10.78
94,Bredasdorp,ZA,2021-10-03 15:57:47,-34.5322,20.0403,60.28,71,61,10.22
95,Cherskiy,RU,2021-10-03 15:57:47,68.75,161.3,17.22,97,99,4.29
96,Talnakh,RU,2021-10-03 15:57:47,69.4865,88.3972,15.06,96,68,1.59
97,Merauke,ID,2021-10-03 15:57:48,-8.4667,140.3333,76.82,85,100,3.27
98,Herveo,CO,2021-10-03 15:57:48,5.0833,-75.1667,71.64,55,21,6.38
99,Khatanga,RU,2021-10-03 15:57:48,71.9667,102.5,16.88,95,90,8.97
100,Posse,BR,2021-10-03 15:57:49,-14.0931,-46.3694,97.5,18,25,5.7
101,Ambilobe,MG,2021-10-03 15:57:49,-13.2,49.05,74.43,70,13,0.11
102,Yar-Sale,RU,2021-10-03 15:57:50,66.8333,70.8333,31.6,74,96,6.55
103,Albany,US,2021-10-03 15:57:50,42.6001,-73.9662,66.81,82,100,1.23
104,Mahebourg,MU,2021-10-03 15:57:50,-20.4081,57.7,73.26,94,75,10.36
105,Anchorage,US,2021-10-03 15:54:56,61.2181,-149.9003,33.21,91,1,0.0
106,Norman Wells,CA,2021-10-03 15:57:51,65.282,-126.8329,35.64,100,90,14.97
107,Lebu,CL,2021-10-03 15:57:52,-37.6167,-73.65,52.83,67,32,21.61
108,Cayenne,GF,2021-10-03 15:57:52,4.9333,-52.3333,89.64,71,75,5.01
109,Hithadhoo,MV,2021-10-03 15:57:52,-0.6,73.0833,84.07,73,72,14.76
110,Agirish,RU,2021-10-03 15:57:53,61.9247,63.0231,28.99,82,71,4.21
111,Mahibadhoo,MV,2021-10-03 15:57:53,3.7833,72.9667,83.12,77,10,15.84
112,Korla,CN,2021-10-03 15:57:53,41.7597,86.1469,53.2,28,25,5.93
113,San Patricio,US,2021-10-03 15:57:54,28.017,-97.5169,83.01,68,61,5.99
114,Sitka,US,2021-10-03 15:57:54,57.0531,-135.33,42.69,75,90,9.22
115,Pevek,RU,2021-10-03 15:57:55,69.7008,170.3133,22.59,90,99,9.78
116,Buala,SB,2021-10-03 15:57:55,-8.145,159.5921,78.93,84,31,3.38
117,Clyde River,CA,2021-10-03 15:57:55,70.4692,-68.5914,41.23,81,75,4.61
118,Lockhart,US,2021-10-03 15:57:56,28.6194,-81.4426,88.27,67,81,1.01
119,Laguna,US,2021-10-03 15:57:56,38.421,-121.4238,76.84,45,75,3.85
120,Tautira,PF,2021-10-03 15:57:56,-17.7333,-149.15,73.42,76,9,9.28
121,Thompson,CA,2021-10-03 15:57:57,55.7435,-97.8558,48.36,100,75,0.0
122,Tessalit,ML,2021-10-03 15:57:57,20.1986,1.0114,99.99,8,46,16.06
123,Borogontsy,RU,2021-10-03 15:57:58,62.6683,131.1683,26.46,92,9,4.27
124,Lagoa,PT,2021-10-03 15:57:58,39.05,-27.9833,71.04,89,100,10.94
125,Tortoli,IT,2021-10-03 15:57:58,39.9256,9.6572,77.99,68,51,8.3
126,Sioux Lookout,CA,2021-10-03 15:57:52,50.1001,-91.917,55.78,82,75,4.61
127,Luderitz,NA,2021-10-03 15:57:59,-26.6481,15.1594,65.61,46,0,29.95
128,Sao Miguel Do Araguaia,BR,2021-10-03 15:57:59,-13.275,-50.1628,99.5,27,6,5.5
129,Osorno,CL,2021-10-03 15:58:00,-40.5667,-73.15,50.31,76,75,4.61
130,Puro,PH,2021-10-03 15:58:00,12.4841,123.3827,78.78,89,100,7.27
131,Kruisfontein,ZA,2021-10-03 15:58:01,-34.0033,24.7314,56.88,63,30,14.14
132,North Bend,US,2021-10-03 15:58:01,43.4065,-124.2243,51.08,70,81,4.0
133,Haimen,CN,2021-10-03 15:58:01,23.1935,116.6142,82.29,76,6,18.81
134,Ahuimanu,US,2021-10-03 15:58:02,21.4447,-157.8378,76.71,78,90,12.03
135,Oskemen,KZ,2021-10-03 15:58:02,49.9565,82.6119,42.76,70,90,13.42
136,Hermanus,ZA,2021-10-03 15:58:02,-34.4187,19.2345,61.9,64,55,9.6
137,Turan,VN,2021-10-03 15:57:58,16.0678,108.2208,82.38,78,20,1.14
138,Mpongwe,ZM,2021-10-03 15:58:03,-13.5091,28.155,75.6,55,97,8.37
139,Itoman,JP,2021-10-03 15:58:03,26.1247,127.6694,82.42,65,20,13.8
140,Turukhansk,RU,2021-10-03 15:58:04,65.8167,87.9833,30.47,98,96,4.14
141,Ko Samui,TH,2021-10-03 15:58:04,9.5357,99.9357,84.13,71,78,9.17
142,Tiksi,RU,2021-10-03 15:58:04,71.6872,128.8694,25.36,91,80,12.26
143,Goya,AR,2021-10-03 15:58:05,-29.14,-59.2626,67.98,28,91,12.82
144,Kieta,PG,2021-10-03 15:58:05,-6.2167,155.6333,78.8,84,40,4.09
145,Maceio,BR,2021-10-03 15:54:54,-9.6658,-35.7353,89.04,58,75,12.66
146,Kavieng,PG,2021-10-03 15:58:06,-2.5744,150.7967,81.18,74,14,5.32
147,Petropavlovsk-Kamchatskiy,RU,2021-10-03 15:58:06,53.0452,158.6483,45.19,76,75,13.42
