City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Samarai,PG,-10.6167,150.6667,80.33,82,63,14.43,broken clouds
80,Hithadhoo,MV,-0.6,73.0833,83.37,76,84,16.69,moderate rain
81,Tiksi,RU,71.6872,128.8694,27.88,93,100,8.21,overcast clouds
82,Azanka,RU,58.0401,64.7893,34.03,85,100,3.83,overcast clouds
83,Mahebourg,MU,-20.4081,57.7,70.25,94,20,5.75,light rain
84,Hit,IQ,33.6416,42.8251,76.28,28,0,4.76,clear sky
85,Nanakuli,US,21.3906,-158.1547,84.11,54,75,11.5,broken clouds
86,Cidreira,BR,-30.1811,-50.2056,58.5,62,0,9.01,clear sky
87,Gull Lake,CA,50.1001,-108.4847,82.76,11,27,17.31,scattered clouds
88,Bluff,NZ,-46.6,168.3333,57.79,90,100,6.73,overcast clouds
89,Bengkulu,ID,-3.8004,102.2655,74.19,89,100,3.04,overcast clouds
90,Praia,CV,14.9215,-23.5087,81.14,78,40,14.97,scattered clouds
91,Belaya Gora,RU,68.5333,146.4167,22.12,63,98,9.28,overcast clouds
92,Maraa,BR,-1.8333,-65.3667,79.02,88,100,1.16,light rain
93,Mataura,NZ,-46.1927,168.8643,57.47,79,100,6.17,light rain
94,San Patricio,US,28.017,-97.5169,92.12,26,0,9.15,clear sky
95,Thompson,CA,55.7435,-97.8558,53.76,32,90,6.91,overcast clouds
96,Qaanaaq,GL,77.484,-69.3632,27.01,89,100,5.79,overcast clouds
97,Pilar,BR,-9.5972,-35.9567,75.13,84,32,5.48,scattered clouds
98,Touba,CI,8.2833,-7.6833,73.4,84,30,1.86,scattered clouds
99,Kahului,US,20.8947,-156.47,87.82,60,40,21.85,scattered clouds
100,Safranbolu,TR,41.2508,32.6942,46.51,89,39,1.07,scattered clouds
101,Vaini,TO,-21.2,-175.2,78.96,83,20,8.05,few clouds
102,Bethel,US,41.3712,-73.414,63.45,85,90,5.75,overcast clouds
103,Morehead,US,37.2711,-87.1764,79.84,76,90,3.44,moderate rain
104,Bonanza,NI,14.0289,-84.591,76.91,97,100,1.72,light rain
105,Lexington,US,37.9887,-84.4777,75.54,64,75,10.36,broken clouds
106,Palaikastron,GR,35.2,26.25,68.76,64,0,28.97,clear sky
107,Cape Town,ZA,-33.9258,18.4232,62.28,60,0,4.0,clear sky
108,Saint Anthony,US,45.0205,-93.218,77.18,54,4,4.0,clear sky
109,Cockburn Town,TC,21.4612,-71.1419,84.16,74,75,16.11,broken clouds
110,San Jose,US,37.3394,-121.895,86.49,49,100,4.0,overcast clouds
111,Deolali,IN,19.95,73.8333,74.71,87,100,2.15,overcast clouds
112,Gravdal,NO,68.1214,13.5031,50.32,84,88,20.62,overcast clouds
113,Krasnokamensk,RU,50.0979,118.0369,35.76,50,100,3.78,overcast clouds
114,Port-Gentil,GA,-0.7193,8.7815,76.96,94,90,9.22,overcast clouds
115,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,80,40,17.27,scattered clouds
116,Kavieng,PG,-2.5744,150.7967,80.31,81,100,8.14,moderate rain
117,Mount Isa,AU,-20.7333,139.5,78.57,13,50,6.91,scattered clouds
118,Avarua,CK,-21.2078,-159.775,78.85,65,24,17.27,few clouds
119,Alice Springs,AU,-23.7,133.8833,63.95,29,4,0.0,clear sky
120,Cayenne,GF,4.9333,-52.3333,84.24,82,0,4.61,clear sky
121,Ostrogozhsk,RU,50.8664,39.0756,45.57,64,65,9.33,broken clouds
122,Port Macquarie,AU,-31.4333,152.9167,64.89,37,0,4.12,clear sky
123,Gao,ML,16.6362,1.637,94.84,17,79,9.04,broken clouds
124,Port Keats,AU,-14.25,129.55,81.61,76,13,7.29,few clouds
125,Hermanus,ZA,-34.4187,19.2345,55.8,90,9,10.49,clear sky
126,Pangody,RU,65.85,74.4859,40.1,87,100,12.06,overcast clouds
127,Souillac,MU,-20.5167,57.5167,70.36,94,20,5.75,few clouds
